Date,Close,High,Low,Open,Volume
2021-05-07,14.775012016296387,14.933113264389581,14.634865165982426,14.77102236151806,229328000
2021-05-10,14.229884147644043,14.768775720170076,14.21417381349999,14.750072669633822,268904000
2021-05-11,14.270281791687012,14.3186599170756,13.715430659167707,13.790241908871472,285584000
2021-05-12,13.72391128540039,14.224399880312989,13.674785449771695,13.974279724476874,303408000
2021-05-13,13.63089370727539,14.045349728476552,13.425162054864115,13.998467009467184,285404000
2021-05-14,14.207192420959473,14.291978764788404,13.713935458707894,13.855080192512533,258616000
2021-05-17,14.129887580871582,14.133628001156678,13.818672627064075,14.121408850962863,216980000
2021-05-18,13.980513572692871,14.368037075620663,13.96879289213659,14.231132182866967,186256000
2021-05-19,14.030385971069336,14.044101476880362,13.509199604080083,13.532390775960163,344000000
2021-05-20,14.575762748718262,14.646833580285021,14.234622566942482,14.266541704450896,321592000
2021-05-21,14.954059600830078,15.183731096129877,14.832117340430838,15.125627113969413,672992000
2021-05-24,15.572751998901367,15.705417059399807,15.137847278130703,15.174255494540118,554816000
2021-05-25,15.608412742614746,15.778733156287876,15.443578342578785,15.72636536528284,435408000
2021-05-26,15.660529136657715,15.754043443944218,15.547065605147322,15.69469328900032,370440000
2021-05-27,15.449061393737793,15.710402780852254,15.42113191055747,15.66027906156566,581476000
2021-05-28,16.20366096496582,16.236578947504775,15.462031299114846,15.462031299114846,644536000
2021-06-01,16.22361183166504,16.3470514176023,15.863270065401705,16.229098796505948,472804000
2021-06-02,16.736066818237305,16.876214600887355,16.194681963051526,16.211390186002433,594168000
2021-06-03,16.927085876464844,17.215609998459154,16.541308933559474,16.65876306621484,580008000
2021-06-04,17.5340576171875,17.6165979934895,17.052521354002085,17.069476909819976,617120000
2021-06-07,17.574703216552734,17.76771725198459,17.149526305796652,17.52707469646401,575756000
2021-06-08,17.41311264038086,17.57719836078649,17.207629259933416,17.483185585690848,323848000
2021-06-09,17.318578720092773,17.53483445076462,17.216313965511866,17.475719983872768,381656000
2021-06-10,17.385175704956055,17.45202392117329,17.136746130755657,17.310348253638647,287772000
2021-06-11,17.784509658813477,17.89824942284033,17.4038813625128,17.43954908988243,416308000
2021-06-14,17.97756576538086,17.9982683850617,17.62238044017172,17.865074363855577,321376000
2021-06-15,17.747844696044922,17.97507495598846,17.68748377402905,17.8740566646082,243032000
2021-06-16,17.769546508789062,17.913717005111053,17.5443124591101,17.75009224553801,307124000
2021-06-17,18.61460304260254,18.791946379448483,17.715663460993632,17.73387125830394,809656000
2021-06-18,18.59615135192871,19.330718581922177,18.54152604115206,18.74106970383863,968856000
2021-06-21,18.385133743286133,18.494135068349298,17.78201553321056,18.39311488047978,672384000
2021-06-22,18.84358024597168,18.920405816851837,18.34397521012506,18.42928050020568,580144000
