Date,Close,High,Low,Open,Volume
2021-06-28,19.916112899780273,20.009539746281707,19.25240821728546,19.294512263445398,495436000
2021-06-29,19.95771598815918,20.02946639667907,19.589239586918527,19.813962368207104,367632000
2021-06-30,19.933549880981445,20.09299819265169,19.795278090307768,19.93031096241236,326568000
2021-07-01,20.142332077026367,20.385490527597725,19.949996529159517,20.055632059782717,480136000
2021-07-02,20.4163818359375,20.434570343264514,20.21781937074688,20.369793862838424,342764000
2021-07-06,20.627147674560547,20.77015237695763,20.280098726893023,20.666012792523105,446708000
2021-07-07,20.301525115966797,20.803040452353898,20.261912992280784,20.781614931327567,418428000
2021-07-08,19.83414077758789,20.063596461218776,19.632837451373586,19.788050819945788,503300000
2021-07-09,19.98113441467285,20.011031686742374,19.686155219860904,19.893687412394865,296624000
2021-07-12,20.441789627075195,20.461968239394015,20.118158215127266,20.170228006561114,321984000
2021-07-13,20.180200576782227,20.390722726429324,20.04466967248551,20.33018116670877,290708000
2021-07-14,19.773101806640625,20.347365436416478,19.684658809651104,20.287572800347288,380100000
2021-07-15,18.9008731842041,19.778587910474652,18.793494657119066,19.743459705435733,550564000
2021-07-16,18.098398208618164,19.09096527868611,18.01070219908961,18.96490214619044,688224000
2021-07-19,18.71501922607422,18.976364277481892,17.803919215628007,17.853499010534822,749060000
2021-07-20,18.54784393310547,18.773064743639477,18.101388235116307,18.665437217414535,434687000
2021-07-21,19.343093872070312,19.459691152678595,18.677397187844907,18.816914001718725,371017000
2021-07-22,19.526460647583008,19.818449966161833,19.209555981723096,19.574295529309875,323826000
2021-07-23,19.49058723449707,19.63209798066953,19.183648299082556,19.58824901824623,195672000
2021-07-26,19.227497100830078,19.37498578095671,18.848805839371344,19.24443870206173,203943000
2021-07-27,19.14179039001465,19.554362894991016,18.676399176562164,19.198593120837312,248863000
2021-07-28,19.435781478881836,19.578288267246943,18.929532922740485,19.252415635621016,202191000
2021-07-29,19.594228744506836,19.78457038148823,19.261378455641132,19.451720092622526,190781000
2021-07-30,19.431787490844727,19.562334550057216,19.19660092206327,19.351065420539463,183497000
2021-08-02,19.68192481994629,19.892197976723832,19.29426570330478,19.632097922483993,217444000
2021-08-03,19.7466983795166,20.152295043077654,19.153748123448008,19.67195614363054,301811000
2021-08-04,20.204118728637695,20.247967690687908,19.759654974548358,19.921097238700884,231309000
2021-08-05,20.565868377685547,20.661538157940313,20.27188509541774,20.429341450355835,211435000
2021-08-06,20.29580307006836,20.499100408027225,20.14034062348505,20.45325942911503,178497000
2021-08-09,20.22504425048828,20.4373093965313,20.073567760929837,20.37552283364435,146443000
2021-08-10,19.867279052734375,20.3595756588384,19.76662547826804,20.251948145392625,179238000
2021-08-11,19.631092071533203,19.979885914939906,19.363020278370346,19.973906081416615,185925000
2021-08-12,19.83638572692871,19.95995693048754,19.55236830867384,19.801506528249956,151652000
2021-08-13,20.1184139251709,20.144325279245585,19.78257563330717,19.83639035283201,183063000
2021-08-16,19.8812313079834,20.217069532094754,19.385942869614865,20.065593064053427,210876000
2021-08-17,19.390932083129883,19.70185695099313,19.200590439736775,19.617148941747843,204585000
2021-08-18,18.97437286376953,19.56632529724626,18.93450982544956,19.432786399803497,285913000
2021-08-19,19.729755401611328,20.424353301221036,18.697325356525393,19.426802456904166,766555000
2021-08-20,20.744245529174805,20.793076409277884,19.864289880276367,19.922088611384755,675741000
2021-08-23,21.882312774658203,21.921177903907907,20.877787845028326,20.898715368530024,575807000
2021-08-24,21.71788215637207,21.883310344893474,21.46077202046187,21.678021018612597,297299000
2021-08-25,22.13643455505371,22.392548685209118,21.647127731975118,21.66207542103675,347701000
2021-08-26,21.9919376373291,22.262999479286844,21.714895958935315,22.123482634275426,237940000
2021-08-27,22.557971954345703,22.643675947875877,22.090588763919488,22.10753036152277,304722000
2021-08-30,22.60978889465332,22.963564670606658,22.473262032383406,22.751299585189365,262580000
2021-08-31,22.3117733001709,22.62075868040585,22.047640789736928,22.62075868040585,259850000
2021-09-01,22.367589950561523,22.622753028655936,22.283865100248764,22.41144663929597,201767000
2021-09-02,22.322742462158203,22.519098575902476,22.222073001044773,22.444343140895917,187834000
2021-09-03,22.768274307250977,22.91080616281464,22.12737809725463,22.2519691858628,280532000
2021-09-07,22.587867736816406,22.82409196545465,22.4483244181334,22.758307882725695,198107000
2021-09-08,22.265926361083984,22.536039786741064,21.90510910488169,22.439356967135367,254434000
2021-09-09,22.104454040527344,22.464273188352024,22.058604988452572,22.23901265299159,196856000
2021-09-10,22.404470443725586,22.55198511877038,22.197150672313043,22.2748946360381,248376000
2021-09-13,22.079540252685547,22.888884438479984,21.78650131614353,22.60979964648237,297500000
2021-09-14,22.169240951538086,22.336690647857136,22.013751133052175,22.202132041411108,199755000
2021-09-15,22.26791763305664,22.29383355511717,21.894144334606132,22.236022722228473,166538000
2021-09-16,22.169240951538086,22.204126304937887,21.855270869830687,22.11043394136282,156033000
2021-09-17,21.82836151123047,22.247983887075033,21.758590795663608,22.227052672404977,294503000
2021-09-20,21.043933868408203,21.362886747600268,20.594409012672557,21.076824957284188,349440000
2021-09-21,21.17650032043457,21.35491372577289,20.88146906785273,21.3469404733302,204688000
2021-09-22,21.86922264099121,21.888159587451916,21.126658982440958,21.296102923922355,268726000
2021-09-23,22.4084529876709,22.461279102173783,21.81838869165872,22.067570844468374,248555000
2021-09-24,22.008769989013672,22.076548344372082,21.789490317687935,21.99780629061381,217655000
2021-09-27,21.589147567749023,21.72769282238247,21.255244302712523,21.63898325171852,245215000
2021-09-28,20.63128662109375,21.348932496688196,20.58344330923957,21.144603190689022,343069000
2021-09-29,20.449886322021484,20.94825075454832,20.400048738103138,20.871502966534447,218394000
2021-09-30,20.64823341369629,20.997088873720934,20.620325128983062,20.70006335689361,221009000
2021-10-01,20.674148559570312,20.79076450155357,20.13691029679446,20.68212181172919,240978000
2021-10-04,19.667451858520508,20.47480160606298,19.49103082581489,20.43692580745961,345635000
2021-10-05,20.384098052978516,20.58045410102996,19.789050920867343,19.884737541485297,279282000
2021-10-06,20.632287979125977,20.652221111305703,20.014315254928512,20.054185321506793,297202000
2021-10-07,21.00606346130371,21.252255254335836,20.903399740291803,21.02300615012372,256919000
2021-10-08,20.762859344482422,21.136632686521562,20.707042768746597,21.03197660701689,151258000
2021-10-11,20.627296447753906,20.994092574074557,20.44389838459358,20.507690089797787,163388000
2021-10-12,20.60338020324707,20.988117194123532,20.460848337072985,20.759866211548562,162134000
2021-10-13,20.87050437927246,20.921338143306798,20.64524382851647,20.849573164865863,180652000
2021-10-14,21.67486572265625,21.683835156792203,21.052906376708478,21.2183637297649,243589000
2021-10-15,21.790485382080078,21.859259915283243,21.5911407550322,21.73865543684794,226994000
2021-10-18,22.14930534362793,22.218079867426876,21.573195134718436,21.677853093300257,189494000
2021-10-19,22.217086791992188,22.30579445739423,21.964914136514288,22.20313074793577,161473000
2021-10-20,22.030698776245117,22.359619226163996,21.91009429442329,22.232037672694034,146276000
2021-10-21,22.617769241333008,22.636708092213606,22.010762150737015,22.024716293024067,187590000
2021-10-22,22.651655197143555,23.054332903700523,22.487195958001656,22.74833799814001,249384000
2021-10-25,23.0902156829834,23.278596571757692,22.695511238886706,22.897846267570205,230235000
2021-10-26,24.636140823364258,25.176369464220407,23.845735742786594,23.910523636621996,485898000
2021-10-27,24.371013641357422,25.00792321942295,24.20256586759915,24.393939116260093,245990000
2021-10-28,24.85940933227539,24.86838066580957,24.4427774851292,24.796615700863228,234204000
2021-10-29,25.483366012573242,25.624901707362692,24.91822131585797,24.91921749719109,292503000
